驗證Key,日期,最新時間,代號,名稱,股票型態,目前狀態,目前決策,結果分類,盤後驗證結果,驗證狀態,驗證時間,首次價格,驗證價格,目前報酬%,驗證報酬%,最高報酬%,最大回撤%,驗證最高報酬%,驗證最大回撤%,AI總分,風險分,左側低吸分,盤中資金分,漲停前兆分,即時入場分,左側試單價,防守停損,右側加碼價,追價上限,停損距離%,資料來源,同步來源,狀態歷程
2026-06-20_2880,2026-06-20,00:42:40,2880,華南金,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,38.35,38.35,0.0,0.0,0,0,0,0,50.0,30.0,63.7,57.6,5.3,48.5,38.00,37.43,39.20,39.04,2.4,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2351,2026-06-20,00:42:40,2351,順德,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,195.0,195.0,0.0,0.0,0,0,0,0,50.0,30.0,38.3,88.3,86.6,66.7,192.07,189.19,198.00,198.51,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_2356,2026-06-20,00:42:40,2356,英業達,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,67.7,67.7,0.0,0.0,0,0,0,0,50.0,30.0,64.4,56.2,2.4,47.7,67.00,66.00,68.60,68.92,2.51,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_3533,2026-06-20,00:42:40,3533,嘉澤,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,2290.0,2290.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,43.3,0,42.9,2270.00,2235.95,2335.00,2331.22,2.36,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_2458,2026-06-20,00:42:40,2458,義隆,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,172.0,172.0,0.0,0.0,0,0,0,0,50.0,30.0,35.2,94.6,100,70.4,169.42,166.88,173.38,175.10,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-20_2892,2026-06-20,00:42:40,2892,第一金,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,32.6,32.6,0.0,0.0,0,0,0,0,50.0,30.0,64.4,56.2,2.5,47.7,32.25,31.77,32.86,33.19,2.55,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_3583,2026-06-20,00:42:40,3583,辛耘,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,889.0,889.0,0.0,0.0,0,0,0,0,50.0,30.0,40.0,85.0,80.0,64.8,875.66,862.53,896.11,905.00,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_1605,2026-06-20,00:42:40,1605,華新,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,39.0,39.0,0.0,0.0,0,0,0,0,50.0,30.0,53.4,58.1,6.2,45.3,38.41,37.83,40.45,39.70,3.0,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6139,2026-06-20,00:42:40,6139,亞翔,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,823.0,823.0,0.0,0.0,0,0,0,0,50.0,30.0,50.8,63.4,16.9,48.4,810.65,798.49,829.58,837.81,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_4938,2026-06-20,00:42:40,4938,和碩,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,82.9,82.9,0.0,0.0,0,0,0,0,50.0,30.0,65.0,54.5,0,46.8,82.90,81.66,86.60,84.39,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_6451,2026-06-20,00:42:40,6451,訊芯-KY,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,561.0,561.0,0.0,0.0,0,0,0,0,50.0,30.0,48.4,68.2,26.5,51.1,552.59,544.30,573.00,571.10,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_6449,2026-06-20,00:42:40,6449,鈺邦,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,433.0,433.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,44.2,0,43.2,432.00,425.52,483.00,440.79,1.73,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_3702,2026-06-20,00:42:40,3702,大聯大,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,112.0,112.0,0.0,0.0,0,0,0,0,50.0,30.0,45.7,73.7,37.4,54.2,110.32,108.67,113.00,114.02,2.97,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2610,2026-06-20,00:42:40,2610,華航,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,22.0,22.0,0.0,0.0,0,0,0,0,50.0,30.0,63.6,57.8,5.5,48.6,21.80,21.47,22.40,22.40,2.41,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_8028,2026-06-20,00:42:40,8028,昇陽半導體,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,311.5,311.5,0.0,0.0,0,0,0,0,50.0,30.0,55.0,55,0,43.5,306.83,302.23,317.50,317.11,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6271,2026-06-20,00:42:40,6271,同欣電,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,242.5,242.5,0.0,0.0,0,0,0,0,50.0,30.0,39.4,86.1,82.2,65.4,238.86,235.28,247.00,246.87,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_6789,2026-06-20,00:42:40,6789,采鈺,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,543.0,543.0,0.0,0.0,0,0,0,0,50.0,30.0,35.2,94.7,100,70.4,534.86,526.84,547.34,552.77,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-20_009816,2026-06-20,00:42:40,009816,凱基台灣TOP50,ETF / 市場動能,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,15.68,15.68,0.0,0.0,0,0,0,0,50.0,30.0,63.3,58.4,21.7,51.9,15.61,15.38,15.81,15.96,1.91,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6155,2026-06-20,00:42:40,6155,鈞寶,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,98.5,98.5,0.0,0.0,0,0,0,0,50.0,30.0,35.1,94.7,100,70.5,97.02,95.56,99.29,100.27,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-20_2395,2026-06-20,00:42:40,2395,研華,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,494.0,494.0,0.0,0.0,0,0,0,0,50.0,30.0,62.7,59.5,9.0,49.6,490.00,482.65,504.00,502.89,2.3,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_1216,2026-06-20,00:42:40,1216,統一,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,74.5,74.5,0.0,0.0,0,0,0,0,50.0,30.0,65.0,47.1,0,44.2,74.50,73.38,76.40,75.84,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_2388,2026-06-20,00:42:40,2388,威盛,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,81.4,81.4,0.0,0.0,0,0,0,0,50.0,30.0,38.5,88.0,85.9,66.5,80.18,78.98,82.70,82.87,2.97,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_3715,2026-06-20,00:42:40,3715,定穎投控,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,179.0,179.0,0.0,0.0,0,0,0,0,50.0,30.0,51.6,61.8,13.6,47.4,176.50,173.85,185.00,182.22,2.88,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_1503,2026-06-20,00:42:40,1503,士電,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,241.5,241.5,0.0,0.0,0,0,0,0,50.0,30.0,50.8,63.4,16.9,48.4,237.88,234.31,244.00,245.85,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2481,2026-06-20,00:42:40,2481,強茂,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,160.0,160.0,0.0,0.0,0,0,0,0,50.0,30.0,45.1,94.9,100,74.0,160.00,157.60,161.28,162.88,1.5,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-20_3035,2026-06-20,00:42:40,3035,智原,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,209.0,209.0,0.0,0.0,0,0,0,0,50.0,30.0,48.1,68.9,42.8,54.5,205.87,202.78,210.67,212.76,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_2441,2026-06-20,00:42:40,2441,超豐,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,135.0,135.0,0.0,0.0,0,0,0,0,50.0,30.0,41.6,81.9,53.8,59.0,132.97,130.98,137.00,137.43,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_6515,2026-06-20,00:42:40,6515,穎崴,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,9450.0,9450.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,45,0,43.5,9400.00,9259.00,9610.00,9620.10,2.02,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_5871,2026-06-20,00:42:40,5871,中租-KY,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,114.0,114.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,51.5,0,45.8,114.00,112.29,116.50,116.05,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_2451,2026-06-20,00:42:40,2451,創見,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,311.5,311.5,0.0,0.0,0,0,0,0,50.0,30.0,64.7,55.6,1.3,47.4,308.00,303.38,315.00,317.11,2.61,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2609,2026-06-20,00:42:40,2609,陽明,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,51.3,51.3,0.0,0.0,0,0,0,0,50.0,30.0,65.0,52.7,0,46.2,51.30,50.53,52.50,52.22,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_0056,2026-06-20,00:42:40,0056,元大高股息,ETF / 市場動能,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,52.8,52.8,0.0,0.0,0,0,0,0,50.0,30.0,61.7,61.6,28.1,53.8,52.40,51.61,53.22,53.75,2.25,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6672,2026-06-20,00:42:40,6672,騰輝電子-KY,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,245.5,245.5,0.0,0.0,0,0,0,0,50.0,30.0,38.2,88.6,87.1,66.8,241.82,238.19,249.00,249.92,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_1326,2026-06-20,00:42:40,1326,台化,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,54.2,54.2,0.0,0.0,0,0,0,0,50.0,30.0,63.1,58.7,7.4,49.1,53.70,52.89,55.20,55.18,2.42,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_1590,2026-06-20,00:42:40,1590,亞德客-KY,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1380.0,1380.0,0.0,0.0,0,0,0,0,50.0,30.0,45.9,63.2,36.4,50.5,1359.30,1338.91,1405.00,1404.84,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2484,2026-06-20,00:42:40,2484,希華,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,71.2,71.2,0.0,0.0,0,0,0,0,50.0,30.0,50.1,64.8,19.6,49.1,70.13,69.08,72.80,72.48,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2353,2026-06-20,00:42:40,2353,宏碁,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,34.4,34.4,0.0,0.0,0,0,0,0,50.0,30.0,65.0,48.2,0,44.6,34.35,33.83,35.30,35.02,1.66,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_5269,2026-06-20,00:42:40,5269,祥碩,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1455.0,1455.0,0.0,0.0,0,0,0,0,50.0,30.0,50.8,53.4,16.9,44.9,1433.17,1411.67,1475.00,1481.19,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_8112,2026-06-20,00:42:40,8112,至上,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,98.2,98.2,0.0,0.0,0,0,0,0,50.0,30.0,62.1,60.8,11.6,50.3,97.20,95.74,99.00,99.97,2.51,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_4764,2026-06-20,00:42:40,4764,雙鍵,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,338.5,338.5,0.0,0.0,0,0,0,0,50.0,30.0,40.8,83.5,77.0,63.9,333.42,328.42,347.50,344.59,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_2377,2026-06-20,00:42:40,2377,微星,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,138.5,138.5,0.0,0.0,0,0,0,0,50.0,30.0,52.8,59.4,23.7,49.0,136.50,134.45,139.61,140.99,2.92,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_0052,2026-06-20,00:42:40,0052,富邦科技,ETF / 市場動能,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,62.8,62.8,0.0,0.0,0,0,0,0,50.0,30.0,62.9,59.2,23.4,52.4,62.35,61.41,63.30,63.93,2.21,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2342,2026-06-20,00:42:40,2342,茂矽,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,55.2,55.2,0.0,0.0,0,0,0,0,50.0,30.0,35.1,94.8,100,70.5,54.37,53.55,55.64,56.19,2.99,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-20_8210,2026-06-20,00:42:40,8210,勤誠,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1365.0,1365.0,0.0,0.0,0,0,0,0,50.0,30.0,52.0,51.0,11.9,43.4,1345.00,1324.83,1385.00,1389.57,2.94,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2049,2026-06-20,00:42:40,2049,上銀,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,335.0,335.0,0.0,0.0,0,0,0,0,50.0,30.0,48.2,68.6,42.2,54.3,329.98,325.03,337.68,341.03,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_6805,2026-06-20,00:42:40,6805,富世達,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1755.0,1755.0,0.0,0.0,0,0,0,0,50.0,30.0,50.3,54.3,18.6,45.4,1728.67,1702.74,1769.04,1786.59,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2912,2026-06-20,00:42:40,2912,統一超,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,223.5,223.5,0.0,0.0,0,0,0,0,50.0,30.0,65.0,45.4,0,43.6,223.50,220.15,229.00,227.52,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_6197,2026-06-20,00:42:40,6197,佳必琪,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,347.5,347.5,0.0,0.0,0,0,0,0,50.0,30.0,46.3,72.4,34.8,53.5,342.29,337.16,356.00,353.75,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_2474,2026-06-20,00:42:40,2474,可成,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,202.5,202.5,0.0,0.0,0,0,0,0,50.0,30.0,65.0,49.2,0,45.0,202.50,199.46,207.50,206.15,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_3016,2026-06-20,00:42:40,3016,嘉晶,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,126.5,126.5,0.0,0.0,0,0,0,0,50.0,30.0,48.5,68.1,26.2,51.0,124.60,122.73,128.00,128.78,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_4722,2026-06-20,00:42:40,4722,國精化,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,277.5,277.5,0.0,0.0,0,0,0,0,50.0,30.0,44.8,75.4,40.9,55.3,273.34,269.24,290.00,282.50,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_3312,2026-06-20,00:42:40,3312,弘憶股,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,62.8,62.8,0.0,0.0,0,0,0,0,50.0,30.0,51.1,62.8,15.6,48.0,61.86,60.93,67.70,63.93,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6269,2026-06-20,00:42:40,6269,台郡,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,79.6,79.6,0.0,0.0,0,0,0,0,50.0,30.0,55.0,53.5,0,43.0,78.41,77.23,81.80,81.03,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_3026,2026-06-20,00:42:40,3026,禾伸堂,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,902.0,902.0,0.0,0.0,0,0,0,0,54.0,20.0,53.7,47.7,5.4,41.9,888.47,875.14,910.00,918.24,2.98,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2412,2026-06-20,00:42:40,2412,中華電,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,144.0,144.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,50.9,0,45.6,144.00,141.84,145.50,146.59,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_2302,2026-06-20,00:42:40,2302,麗正,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,47.0,47.0,0.0,0.0,0,0,0,0,50.0,30.0,46.1,72.8,35.5,53.7,46.30,45.61,48.50,47.85,2.96,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-20_1504,2026-06-20,00:42:40,1504,東元,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,70.0,70.0,0.0,0.0,0,0,0,0,50.0,30.0,51.2,62.6,15.1,47.8,69.10,68.06,71.10,71.26,2.77,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2915,2026-06-20,00:42:40,2915,潤泰全,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,53.3,53.3,0.0,0.0,0,0,0,0,50.0,30.0,51.6,61.9,28.8,50.5,52.50,51.71,53.73,54.26,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6781,2026-06-20,00:42:40,6781,AES-KY,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1180.0,1180.0,0.0,0.0,0,0,0,0,50.0,30.0,54.1,46.7,3.4,41.0,1162.30,1144.87,1190.00,1201.24,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_2489,2026-06-20,00:42:40,2489,瑞軒,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,48.15,48.15,0.0,0.0,0,0,0,0,50.0,30.0,65.0,51.3,0,45.7,47.70,46.98,49.20,49.02,2.43,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_3019,2026-06-20,00:42:40,3019,亞光,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,160.5,160.5,0.0,0.0,0,0,0,0,50.0,30.0,52.5,60.0,10.1,46.4,158.09,155.72,161.78,163.39,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6278,2026-06-20,00:42:40,6278,台表科,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,204.5,204.5,0.0,0.0,0,0,0,0,50.0,30.0,65.0,55,0,47.0,203.50,200.45,208.50,208.18,1.98,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-20_6442,2026-06-20,00:42:40,6442,光聖,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,1945.0,1945.0,0.0,0.0,0,0,0,0,50.0,30.0,43.0,69.0,62.9,56.8,1915.83,1887.09,1960.56,1980.01,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_00878,2026-06-20,00:42:40,00878,國泰永續高股息,ETF / 市場動能,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,33.67,33.67,0.0,0.0,0,0,0,0,50.0,30.0,62.6,59.8,24.6,52.8,33.45,32.95,33.94,34.28,2.14,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6742,2026-06-20,00:42:40,6742,澤米,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,69.0,69.0,0.0,0.0,0,0,0,0,50.0,30.0,50.6,63.9,17.8,48.6,67.97,66.95,71.10,70.24,2.97,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_8081,2026-06-20,00:42:40,8081,致新,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,319.0,319.0,0.0,0.0,0,0,0,0,50.0,30.0,37.6,89.8,89.5,67.5,314.21,309.50,322.00,324.74,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-20_2428,2026-06-20,00:42:40,2428,興勤,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,316.0,316.0,0.0,0.0,0,0,0,0,50.0,30.0,43.6,77.8,45.5,56.6,311.26,306.59,322.00,321.69,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-20_6196,2026-06-20,00:42:40,6196,帆宣,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-20 00:42:40,567.0,567.0,0.0,0.0,0,0,0,0,50.0,30.0,45.4,64.2,53.5,54.1,558.50,550.12,571.54,577.21,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
